,DEPTH,density_Porosity,Rt,TVD,GR,Sw,Vshale
14,10340.000330879871,0.2519337016574585,16.094170000000002,10262.0,97.429,0.22876728457542506,0.3191152691791205
15,10340.500330895871,0.2480662983425413,13.11612,10262.5,96.247,0.2573617614801973,0.3013542120007013
16,10341.000330911873,0.2508287292817678,10.98585,10263.0,97.107,0.27811240889916433,0.3142278731935457
25,10345.500331055871,0.2662983425414363,10.47353,10267.5,97.429,0.2682869037134931,0.3191152691791205
30,10348.00033113587,0.2701657458563535,10.1889,10270.0,96.247,0.26811464889369324,0.3013542120007013
31,10348.50033115187,0.2668508287292818,8.55867,10270.5,96.956,0.2961711697379891,0.3119486490898881
44,10355.000331359868,0.2491712707182321,10.0462,10277.0,94.594,0.29276260326135,0.27732784076183137
45,10355.500331375868,0.2497237569060773,11.31531,10277.5,93.425,0.2752462361708241,0.2608904391886337
46,10356.000331391868,0.2519337016574585,13.74811,10278.0,91.623,0.2475179561633969,0.2364195521871456
47,10356.500331407868,0.25635359116022105,18.51396,10278.5,90.341,0.20961647381884724,0.21962963506462105
48,10357.000331423871,0.25635359116022105,21.90336,10279.0,87.979,0.19271685555171653,0.18998766561119276
49,10357.500331439867,0.25911602209944745,24.21421,10279.5,87.389,0.18133642817826207,0.1828364250225886
50,10358.000331455867,0.2569060773480662,27.62804,10280.0,86.79799999999999,0.17122416663606255,0.17577166205143027
51,10358.500331471867,0.2541436464088397,31.01715,10280.5,89.54799999999999,0.16335569332317282,0.20949407340035456
52,10359.000331487867,0.2535911602209945,33.96973,10281.0,91.05,0.15643514139052725,0.2288526931837587
53,10359.500331503868,0.2535911602209945,38.58972,10281.5,92.704,0.14677245306734418,0.250974985290272
54,10360.000331519866,0.2497237569060773,43.60089,10282.0,91.766,0.14021902407218653,0.2383238868334197
55,10360.500331535866,0.2475138121546961,43.63712,10282.5,89.514,0.14141223885312926,0.20906371303145954
56,10361.000331551866,0.2453038674033149,45.81279,10283.0,87.274,0.13925689624548215,0.1814540347694748
57,10361.500331567866,0.2475138121546961,46.21352,10283.5,86.79799999999999,0.13741385184357022,0.17577166205143027
58,10362.000331583866,0.2541436464088397,47.38232,10284.0,90.341,0.1321682256538955,0.21962963506462105
59,10362.500331599866,0.2558011049723757,46.48452,10284.5,91.04,0.1325738552231898,0.2287215377355642
60,10363.000331615864,0.2558011049723757,47.41473,10285.0,91.523,0.1312669577539326,0.23509164227037255
61,10363.500331631863,0.25635359116022105,46.60323,10285.5,88.569,0.1321195429105577,0.1972386265774082
62,10364.000331647863,0.2602209944751381,44.01766,10286.0,85.616,0.13392407924307545,0.16193276496265954
63,10364.500331663863,0.2602209944751381,41.8989,10286.5,86.79799999999999,0.13726848304121514,0.17577166205143027
64,10365.000331679865,0.2580110497237569,39.53628,10287.0,90.341,0.1425208059546915,0.21962963506462105
65,10365.500331695865,0.254696132596685,36.31017,10287.5,90.711,0.1506530698071668,0.22442364561847988
66,10366.000331711864,0.2541436464088397,31.29172,10288.0,91.523,0.16263742988522467,0.23509164227037255
67,10366.500331727864,0.2569060773480662,26.04446,10288.5,90.346,0.17635282480025105,0.21969414187731545
68,10367.000331743864,0.25966850828729265,24.81987,10289.0,87.979,0.17872917179825598,0.18998766561119276
69,10367.500331759864,0.2618784530386739,24.89385,10289.5,86.738,0.17695737863504235,0.17505989164457714
70,10368.000331775864,0.2707182320441988,24.88864,10290.0,85.616,0.1711970942572636,0.16193276496265954
71,10368.500331791864,0.28066298342541435,25.20691,10290.5,82.072,0.16408524672635516,0.12266811779920796
72,10369.000331807863,0.2795580110497236,22.40912,10291.0,80.891,0.17471497649365886,0.11029257122453956
73,10369.500331823863,0.2795580110497236,14.5051,10291.5,80.891,0.21716116939228847,0.11029257122453956
74,10370.00033183986,0.28011049723756914,13.15086,10292.0,82.072,0.2276187403086448,0.12266811779920796
75,10370.500331855861,0.28011049723756914,13.49514,10292.5,82.072,0.2246965454908773,0.12266811779920796
76,10371.00033187186,0.2779005524861879,11.00608,10293.0,81.46300000000002,0.2507891447484268,0.11624365343822506
77,10371.50033188786,0.27458563535911595,10.29872,10293.5,80.891,0.2623886457005439,0.11029257122453956
78,10372.00033190386,0.2723756906077348,9.69769,10294.0,80.608,0.27259129585520137,0.10737765442759448
79,10372.50033191986,0.2707182320441988,9.34676,10294.5,80.419,0.2793614179675976,0.1054416987154114
80,10373.00033193586,0.2657458563535911,8.64006,10295.0,77.347,0.2959985587967823,0.0751496946179513
81,10373.500331951858,0.25966850828729265,8.52283,10295.5,74.985,0.3050024171767872,0.05329964486486792
82,10374.000331967858,0.2607734806629834,8.37423,10296.0,77.45,0.3063928392280927,0.07613035305032746
83,10374.50033198386,0.25745856353591146,8.41292,10296.5,80.655,0.3096233860702581,0.10786041742293832
85,10375.50033201586,0.25911602209944745,8.84247,10297.5,84.435,0.300077485398167,0.14848375761043145
86,10376.00033203186,0.26298342541436465,9.58817,10298.0,85.634,0.28393454646897354,0.16214064364428574
87,10376.500332047859,0.26353591160220985,10.12315,10298.5,87.439,0.2757508355127549,0.18343862909162809
88,10377.00033206386,0.2668508287292818,12.8342,10299.0,89.16,0.2418585918202393,0.2046032462377908
89,10377.50033207986,0.27292817679557996,15.61152,10299.5,90.271,0.21440924536082856,0.21872733412219675
90,10378.000332095859,0.2773480662983424,18.40268,10300.0,91.523,0.1943340035203729,0.23509164227037255
91,10378.500332111858,0.2812154696132596,20.56796,10300.5,91.523,0.18129242584279345,0.23509164227037255
92,10379.000332127858,0.2828729281767956,18.72856,10301.0,89.428,0.18887344324718586,0.20797668621968216
93,10379.500332143858,0.2878453038674033,17.35683,10301.5,87.979,0.19280581315045572,0.18998766561119276
94,10380.000332159858,0.2944751381215469,15.31886,10302.0,85.14399999999998,0.20061001919856966,0.15651295258821962
95,10380.500332175858,0.2977900552486186,14.63113,10302.5,84.54299999999998,0.2029856573093592,0.1496982127475145
96,10381.000332191858,0.2977900552486186,14.1355,10303.0,82.781,0.20651361993830936,0.1302641135257702
97,10381.500332207857,0.29392265193370165,14.08182,10303.5,82.46,0.20962931994437994,0.1268093600040378
98,10382.000332223855,0.2944751381215469,14.13606,10304.0,81.6,0.20883421451312026,0.11768089913620873
99,10382.500332239855,0.2966850828729281,14.15789,10304.5,81.256,0.20711878964039326,0.11408079671972428
100,10383.000332255855,0.2999999999999998,12.71703,10305.0,80.419,0.21612269506673287,0.1054416987154114
101,10383.500332271855,0.29502762430939217,12.294,10305.5,80.803,0.22351423669940887,0.10938409085681756
102,10384.000332287857,0.2906077348066297,11.08252,10306.0,81.434,0.2389945767442522,0.11594001118391788
103,10384.500332303856,0.2883977900552485,10.8465,10306.5,82.072,0.24343204012523925,0.12266811779920796
104,10385.000332319856,0.288950276243094,10.02276,10307.0,82.072,0.252753802330381,0.12266811779920796
105,10385.500332335856,0.2900552486187845,8.68442,10307.5,83.29799999999999,0.2704975520944094,0.1358833240337367
106,10386.000332351856,0.29116022099447497,8.2127,10308.0,85.616,0.2771018705362822,0.16193276496265954
107,10386.500332367856,0.2922651933701657,7.99145,10308.5,83.68,0.2798495331632957,0.1400792604662015
108,10387.000332383855,0.28950276243093925,7.90848,10309.0,82.072,0.28399798243630875,0.12266811779920796
109,10387.500332399855,0.2861878453038673,8.01389,10309.5,79.71,0.2853918744163571,0.09825536116397404
110,10388.000332415855,0.2828729281767956,8.35716,10310.0,80.875,0.2827442180589489,0.11012725337425552
111,10388.500332431855,0.2795580110497236,8.71894,10310.5,82.072,0.2800984404364911,0.12266811779920796
112,10389.000332447857,0.2839779005524861,9.2464,10311.0,82.781,0.2677587022928988,0.1302641135257702
113,10389.500332463856,0.2839779005524861,10.23541,10311.5,82.979,0.25449386132889124,0.13240809885197208
114,10390.000332479853,0.2812154696132596,10.19833,10312.0,83.25399999999998,0.2574605776447374,0.13540243424195655
115,10390.500332495854,0.2839779005524861,10.49712,10312.5,84.37,0.25130136762572225,0.14775431813321452
116,10391.000332511854,0.2867403314917128,10.51797,10313.0,85.669,0.2486335496922962,0.16254510369354172
117,10391.500332527854,0.2867403314917128,10.75169,10313.5,87.506,0.2459163064052955,0.18424669135367008
118,10392.000332543854,0.2834254143646408,11.18197,10314.0,88.035,0.2439588208584121,0.1906715874523913
119,10392.500332559854,0.2834254143646408,11.65454,10314.5,88.93799999999997,0.23896160060556426,0.2018248541681946
120,10393.000332575852,0.28232044198895034,11.6101,10315.0,89.869,0.2403555593824077,0.2135741540931345
121,10393.500332591851,0.28232044198895034,11.56206,10315.5,90.917,0.2408543767168773,0.22711084118749664
122,10394.000332607851,0.28066298342541435,11.56179,10316.0,91.998,0.2422795739852102,0.2414270658810463
123,10394.500332623853,0.2812154696132596,11.56177,10316.5,92.704,0.2418037918212572,0.250974985290272
124,10395.000332639853,0.2839779005524861,11.57977,10317.0,89.869,0.2392654364915883,0.2135741540931345
125,10395.500332655853,0.2856353591160221,11.14968,10317.5,88.618,0.24242159672499355,0.19784535315503626
126,10396.000332671852,0.2900552486187845,10.53708,10318.0,87.979,0.2455690386195334,0.18998766561119276
127,10396.500332687852,0.29723756906077337,9.7312,10318.5,86.506,0.2493604523980516,0.1723171246894775
128,10397.000332703852,0.3005524861878453,9.04408,10319.0,85.616,0.25580672330420384,0.16193276496265954
129,10397.500332719852,0.29889502762430936,8.390039999999999,10319.5,86.79799999999999,0.2670630295404624,0.17577166205143027
130,10398.000332735852,0.29944751381215456,8.6784,10320.0,90.943,0.2621041719825391,0.22745092615419385
131,10398.500332751852,0.2966850828729281,9.70927,10320.5,93.885,0.2501067870779604,0.2673047702084701
132,10399.000332767851,0.29171270718232045,11.17469,10321.0,92.548,0.23710536860164544,0.24885160816650154
133,10399.500332783853,0.2856353591160221,12.57153,10321.5,90.341,0.22830132968609804,0.21962963506462105
134,10400.000332799853,0.2856353591160221,14.49536,10322.0,90.649,0.21261211420431386,0.22361741845348693
135,10400.500332815853,0.2867403314917128,16.45395,10322.5,91.15,0.19878820290881846,0.23016594218229744
136,10401.00033283185,0.2900552486187845,18.34205,10323.0,91.523,0.1861271863212139,0.23509164227037255
