,DEPTH,Rt,GR,TVD,density_porosity,Sw,Vshale
7,10603.500339311906,11.871,63.672,10126.91016,0.1823204419889503,0.36807427024000106,0.26131555185073474
8,10604.000339327906,11.871,61.23,10127.36621,0.1933701657458564,0.34704145479771525,0.2289148437217321
9,10604.500339343906,11.738,61.23,10127.82227,0.20220994475138127,0.3337451122411517,0.2289148437217321
10,10605.000339359904,11.478,64.283,10128.27832,0.20939226519337012,0.3259272947260537,0.2697119829422051
11,10605.500339375905,11.35,65.259,10128.73438,0.20939226519337012,0.327759970115362,0.2833723180322398
12,10606.000339391905,11.35,65.87,10129.19043,0.19779005524861884,0.34698611361374904,0.2920819458877121
13,10606.500339407905,11.414,66.847,10129.64648,0.20331491712707173,0.3366094461798913,0.3062665101573296
25,10612.500339599903,16.343,66.847,10135.11816,0.2132596685082873,0.2681883183309637,0.3062665101573296
26,10613.000339615905,16.62,64.405,10135.57422,0.2176795580110498,0.2605441464815849,0.2714027467684875
27,10613.500339631904,16.714000000000002,63.184,10136.03027,0.22044198895027625,0.2565546895302813,0.2546939210359033
28,10614.000339647902,17.189,65.015,10136.48633,0.2110497237569061,0.26424354275395845,0.27992833662725913
29,10614.500339663902,17.285999999999998,67.70100000000001,10136.94238,0.2099447513812154,0.2648879492956682,0.3189299663470284
30,10615.000339679902,17.678,67.335,10137.39844,0.20828729281767944,0.2640189728285776,0.31347219808827065
31,10615.500339695902,17.977999999999994,65.87,10137.85449,0.20773480662983412,0.26250314991630075,0.2920819458877121
32,10616.000339711902,18.283,67.21300000000001,10138.31055,0.2149171270718231,0.2516052628951274,0.3116631615955179
33,10616.500339727902,18.698,65.259,10138.7666,0.22375690607734794,0.2389683864381735,0.2833723180322398
34,10617.0003397439,18.698,64.161,10139.22266,0.2259668508287292,0.2366312873043038,0.26802597247352145
35,10617.5003397599,19.016,63.062,10139.67871,0.225414364640884,0.23521949033769435,0.253050131850625
36,10618.0003397759,19.338,62.695,10140.13477,0.22044198895027625,0.23851427604923564,0.2481330987199277
37,10618.500339791899,19.666,61.719,10140.59082,0.22265193370165748,0.2341693166148977,0.2352575716982807
38,10619.0003398079,19.888,61.596,10141.04688,0.2276243093922652,0.2277719712441889,0.2336554179104472
39,10619.5003398239,20.0,63.672,10141.50293,0.2320441988950276,0.22280696550501072,0.26131555185073474
40,10620.0003398399,19.888,63.428,10141.95898,0.2276243093922652,0.2277719712441889,0.2579954154422594
41,10620.5003398559,20.113,62.94,10142.41504,0.2243093922651932,0.2298415764200507,0.2514109639599907
