Depth,Porosity,Saturation 
10263.25,0.192267,0.696938
10269.14,0.249697,0.627136
10269.59,0.261818,0.604936
10270.04,0.252121,0.601014
10270.5,0.247273,0.592564
10270.95,0.24303,0.594787
10271.4,0.239538,0.597911
10271.86,0.205992,0.621412
10272.31,0.218389,0.542702
10272.76,0.213465,0.513084
10273.22,0.208675,0.46071
10273.67,0.18084,0.494529
10274.12,0.205265,0.489657
10274.58,0.193619,0.447832
10275.03,0.173595,0.443413
10275.48,0.183282,0.410635
10276.84,0.152837,0.404088
10277.3,0.172914,0.410147
10279.56,0.186424,0.444425
10280.92,0.160577,0.492567
10281.38,0.186065,0.490783
10281.83,0.209752,0.464724
10282.29,0.185762,0.497049
10282.74,0.184061,0.499233
10283.19,0.180903,0.501113
10283.65,0.171893,0.508369
10284.1,0.179584,0.496636
10284.55,0.226611,0.471666
10285,0.230909,0.4647
10285.46,0.230909,0.46932
10285.91,0.235758,0.451666
10286.37,0.229419,0.442684
10286.82,0.236448,0.449619
10287.27,0.240606,0.445369
10287.73,0.233333,0.476346
10288.18,0.223437,0.474072
10288.63,0.21906,0.46753
10289.09,0.209591,0.463288
10289.54,0.206303,0.465546
10289.99,0.209526,0.484981
10290.45,0.206572,0.521264
10290.9,0.211515,0.54011
10291.35,0.204848,0.568342
10291.81,0.2,0.574915
10292.26,0.212727,0.542245
10292.71,0.216364,0.513264
10293.17,0.228485,0.470611
10293.62,0.221212,0.451371
10294.08,0.228485,0.393855
10294.53,0.230909,0.354406
10294.98,0.233333,0.314294
10295.44,0.23697,0.291314
10295.89,0.238182,0.273644
10296.34,0.238182,0.265054
10296.8,0.248485,0.248822
10297.25,0.257446,0.230247
10297.7,0.231224,0.228212
10298.16,0.215233,0.237458
10298.61,0.21284,0.247524
10299.06,0.209341,0.259824
10299.52,0.188032,0.284048
10299.97,0.16585,0.317799
10300.42,0.178422,0.334171
10304.05,0.15567,0.233289
10304.51,0.1896,0.232745
10304.96,0.186194,0.235885
10305.41,0.169046,0.238372
10305.87,0.164559,0.246176
10306.32,0.185457,0.247187
10306.78,0.195926,0.246692
10307.23,0.18741,0.243393
10307.68,0.186718,0.244541
10308.14,0.210189,0.237624
10308.59,0.228,0.242138
10309.04,0.228032,0.250392
10309.5,0.197876,0.267289
10309.95,0.1859,0.273728
10312.22,0.155167,0.314915
10313.58,0.153113,0.329976
10314.03,0.160034,0.340029
10314.49,0.163057,0.341492
10314.94,0.175348,0.344174
10315.4,0.197379,0.356561
10315.85,0.218134,0.33596
10316.3,0.222733,0.303338
10316.76,0.210653,0.30097
10317.21,0.207777,0.276564
10317.66,0.201228,0.299889
10318.12,0.208599,0.30186
10318.57,0.23156,0.295629
10319.03,0.230155,0.295768
10319.48,0.225405,0.286443
10319.93,0.239952,0.273514
10320.39,0.248575,0.259306
10320.84,0.214424,0.259763
10321.29,0.186509,0.271468
10329,0.16458,0.325825
10329.45,0.198869,0.324276
10329.91,0.182041,0.339065
10330.36,0.152027,0.34523
10330.81,0.172752,0.343119
10331.26,0.192884,0.306446
10331.72,0.214256,0.263238
10332.17,0.238727,0.22557
10332.62,0.253601,0.19136
10333.08,0.269286,0.170407
10333.53,0.283637,0.165897
10333.98,0.27697,0.171352
10334.43,0.263636,0.177116
10334.88,0.25697,0.173446
10335.34,0.255808,0.164659
10335.79,0.264353,0.151107
10336.24,0.266667,0.144094
10336.69,0.266667,0.13874
10337.15,0.266667,0.130212
10337.6,0.27394,0.117772
10338.05,0.278788,0.111969
10338.5,0.286667,0.108977
10338.96,0.287879,0.110023
10339.41,0.278788,0.115089
10339.86,0.278788,0.116567
10340.31,0.271515,0.122963
10340.76,0.266161,0.125632
10341.21,0.254545,0.13984
10341.67,0.261818,0.140367
10342.12,0.266667,0.14032
10342.57,0.272121,0.136072
10343.02,0.278788,0.130382
10343.47,0.266667,0.133495
10343.93,0.269091,0.130891
10344.38,0.27394,0.130523
10344.83,0.27394,0.135245
10345.28,0.264242,0.147302
10345.73,0.25697,0.152642
10346.18,0.249697,0.16327
10346.63,0.245455,0.172467
10347.09,0.254545,0.167418
10347.54,0.254545,0.163892
10347.99,0.254545,0.157124
10348.44,0.25697,0.149558
10348.89,0.25697,0.14272
10349.34,0.238182,0.149032
10349.79,0.252121,0.134604
10350.24,0.25697,0.124986
10350.7,0.25697,0.119052
10351.15,0.25697,0.117854
10351.6,0.264242,0.121095
10352.05,0.261818,0.129228
10352.5,0.25697,0.132465
10352.95,0.25697,0.125446
10353.4,0.261818,0.115252
10353.85,0.261818,0.110147
10354.3,0.261818,0.109506
10354.75,0.261818,0.11174
10355.2,0.261818,0.116341
10355.65,0.271515,0.115973
10356.1,0.276364,0.114559
10356.56,0.266667,0.118323
10357.01,0.269091,0.118361
10357.46,0.267885,0.117466
10357.91,0.254191,0.12219
10358.36,0.248425,0.127913
10358.81,0.26303,0.121605
10359.26,0.264242,0.117815
10359.71,0.27394,0.109853
10360.16,0.27394,0.107868
10360.61,0.260606,0.112786
10361.06,0.25697,0.115949
10361.51,0.266667,0.117835
10361.96,0.269091,0.125288
10362.41,0.266061,0.13635
10362.86,0.264242,0.146097
10363.31,0.270303,0.152203
10363.76,0.27394,0.159083
10364.21,0.266667,0.169907
10364.66,0.264242,0.17756
10365.11,0.259394,0.183745
10365.56,0.264242,0.178584
10366.01,0.271515,0.174492
10366.46,0.276364,0.176856
10366.91,0.271515,0.186824
