Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
1	10277.2			6.0		0.0		2.71	10
2	10278.3			6.8	5.8	0.0		2.66	10
3	10279.2			3.6	5.1	0.0		2.66	10
4	10280.0			6.3	6.2	0.1		2.64	10
5	10281.0			8.6	8.1			2.62	10
									
6	10282.0			8.6	7.9	0.3		2.66	10
7	10282.8			5.6	7.1	1.1		2.64	10
8	10283.8			8.6	8.1	0.0		2.68	10
9	10284.8			9.4	9.0	0.9		2.64	10
10	10285.7			8.5	8.9			2.60	10
									
11	10286.7			9.1	9.1	0.5		2.63	10
12	10287.8			9.6	8.4	0.0		2.66	10
13	10288.6			5.3	7.2	0.0		2.69	10
14	10289.5			8.4	7.9	0.8		2.69	10
15	10290.3			9.5	9.3	1.2		2.63	10
									
16	10290.8			9.7	9.6	1.3		2.62	10
17	10291.7			9.4	9.4	0.8		2.63	10
18	10292.7			9.1	9.2	0.9		2.64	10
19	10293.1			9.2	9.2	0.4		2.65	10
20	10294.1			9.3	9.4		0.01	2.63	10
									
21	10295.1			9.5	9.3			2.65	10
22	10295.8			8.8	9.4			2.63	10
23	10296.9			10.5	9.7			2.64	10
24	10297.8			9.2	9.6	1.6		2.64	10
25	10298.8			9.6	9.3	1.1		2.65	10
									
26	10299.8			9.0	9.2	0.5		2.66	10
27	10300.8			9.3	9.4	0.6		2.67	10
28	10301.6			10.2	10.1	0.4		2.68	10
29	10302.7			10.8	10.3	0.9		2.68	10
30	10303.6			9.3	9.8	0.1		2.70	10
									
31	10304.4			9.8	8.7	1.0		2.69	10
32	10305.4			6.0	7.5	0.0		2.74	10
33	10306.4			8.1	8.1	0.0		2.77	10
34	10307.2			10.2	9.8	0.1		2.70	10
35	10308.1			11.0	10.8			2.66	10
									
36	10309.2			10.9	10.9	0.8		2.66	10
37	10310.0			10.8	10.7	0.3		2.66	10
38	10311.0			10.4	10.2	0.6		2.67	10
39	10312.0			9.3	9.8	0.7		2.69	10
40	10312.8			10.5	10.2	0.8		2.67	10
									
41	10313.7			10.7	10.6	0.6	0.01	2.68	10
42	10314.8			10.5	10.7	0.9		2.68	10
43	10315.5			11.1	10.5	1.5		2.66	10
44	10316.6			9.4	10.0			2.67	10
45	10317.6			9.9	9.9	0.2		2.70	10
									
46	10318.5			10.2	10.2			2.65	10
47	10319.3			10.3	10.2			2.64	10
48	10320.3			10.1	10.2	1.5		2.67	10
49	10321.1			10.5	10.5	4.6		2.67	10
50	10322.2			10.9	11.0			2.65	10
									
51	10323.2			11.5	11.1	6.2		2.64	10
52	10323.9			10.4	10.7	0.4		2.64	10
53	10324.9			10.5	10.4	0.6		2.64	10
54	10325.9			10.4	10.3	0.3		2.64	10
55	10326.5			10.1	9.8	0.4		2.65	10
									
56	10327.4			8.6	12.5			2.67	10
57	10328.7			22.5	15.8	100.0		2.66	20
58	10329.4			9.6	16.2			2.68	10
59	10330.4			22.9	19.5	49.0		2.65	20
60	10331.4			22.5	22.9	79.0		2.65	20
									
61	10332.2			23.4	23.5	110.0		2.64	20
62	10333.2			24.8	24.3	3.9		2.66	20
63	10334.2	59	17	24.3	24.8	33.0		2.64	20
64	10334.7			25.7	22.8	270.0	270	2.64	20
65	10335.7			15.6	19.5	1.6		2.69	20
									
66	10336.5			21.1		19.0		2.63	20
67	10340.1			22.9		460.0		2.63	20
68	10341.1			24.8	25.4	380.0		2.63	20
69	10342.0			29.1	27.6	370.0		2.63	20
70	10342.7	54	14	27.4	28.0	430.0		2.64	20
									
71	10343.7			28.2	27.4	490.0		2.63	20
72	10344.6			25.8	26.4	250.0		2.63	20
73	10345.7			25.6	25.9	170.0		2.63	20
74	10346.7			26.4	26.6	350.0		2.63	20
75	10347.5			28.0	26.8	430.0		2.63	20
									
76	10348.5			24.7	26.2	190.0		2.65	20
77	10349.5			27.5	26.7	400.0		2.64	20
78	10350.4	55	14	27.1	27.3	460.0		2.64	20
79	10351.4			27.3	26.8	320.0		2.64	20
80	10352.4			25.4	26.2	190.0		2.64	20
									
81	10353.0			26.8	26.0	350.0		2.66	20
82	10354.0			25.2	25.2	270.0		2.63	20
83	10355.0			23.7	24.5	160.0		2.63	20
84	10356.1			25.5	24.7	270.0		2.63	20
85	10356.8			24.0	24.9	100.0		2.62	20
									
86	10357.6	55	13	26.1	26.0	350.0		2.66	20
87	10358.1			25.6	25.2	270.0		2.63	20
88	10362.2			23.2	24.5	160.0		2.63	20
89	10363.2			22.2	24.7	270.0		2.63	20
90	10364.1			20.4	24.9	100.0	70	2.62	20
									
91	10365.0			21.9	21.9	710.0		2.63	20
92	10366.0			23.4	23.3	1600.0		2.62	20
93	10367.1	42	20	24.4	24.2	1000.0		2.64	20
94	10367.5			24.6	24.5	1300.0		2.63	20
95	10368.5			24.3	24.2	710.0		2.64	20
									
96	10369.6			23.4	23.6	680.0		2.63	20
97	10370.1			23.4	23.7	620.0		2.63	20
98	10371.0			24.6	24.5	470.0		2.62	20
99	10372.0			25.2	25.4	130.0		2.62	20
100	10373.4	46	23	26.5	26.4	920.0		2.63	20
									
101	10374.5			27.2	27.0	1200.0		2.62	20
102	10375.1			27.1	27.3	1100.0		2.61	20
103	10375.5			27.9	27.2	1100.0	1000	2.61	20
104	10376.6			25.9	26.3	250.0		2.61	20
105	10377.6			25.6	25.6	680.0		2.63	20
									
106	10378.5			25.4	24.8	530.0		2.70	20
107	10379.5			22.9	24.6	200.0		2.62	20
108	10380.5			27.2	25.6	650.0		2.62	20
109	10381.3			25.0	26.5	350.0		2.61	20
110	10382.3			28.9	28.0	1300.0		2.61	20
									
111	10382.6	48	19	29.2	29.3	1900.0		2.62	20
112	10383.3			30.0	29.7	2600.0		2.61	20
113	10384.2			29.5	29.1	1300.0		2.62	20
114	10385.0			27.3	29.4	680.0		2.62	20
115	10386.2			33.3	30.8	1100.0		2.62	20
									
116	10387.2			29.4	30.4	970.0		2.63	20
117	10388.3			29.8	29.8	1300.0		2.62	20
118	10389.3			30.3	30.1	1300.0		2.62	20
119	10390.2			30.1	29.9	1000.0		2.62	20
120	10391.5	53	18	29.0	29.3	910.0		2.62	20
									
121	10392.3			29.1	28.7	700.0		2.62	20
122	10392.9			27.8	27.1	460.0		2.63	20
123	10393.9			23.7	25.8	110.0		2.63	20
124	10394.9			28.1	27.2	620.0		2.62	20
