Sample	Depth	ambient	50	100	200	300	400	430
3	10655.8	20.50	20.37	20.28	20.20	20.13	20.08	20.07
15	10673.3	22.70	22.53	22.44	22.33	22.26	22.20	22.19
23	10694.6	19.10	18.76	18.68	18.60	18.54	18.50	18.48
40	10714.8	15.10	14.98	14.89	14.64	14.51	14.36	14.30
59	10735.9	25.20	25.04	24.94	24.83	24.77	24.70	24.68
75	10755.3	18.50	18.44	18.39	18.30	18.25	18.21	18.19
88	10771.7	11.00	10.83	10.72	10.54	10.46	10.37	10.35
104	10796.7	27.60	27.53	27.46	27.53	27.27	27.20	27.18
121	10815.8	20.10	19.98	19.88	19.78	19.71	19.64	19.62
138	10835.6	23.30	22.88	22.47	22.36	22.28	22.21	22.19
151	10880.3	16.90	16.67	16.55	16.44	16.36	16.29	16.28
167	10900.4	25.90	25.55	25.33	25.07	24.93	24.83	24.78
186	10920.3	25.30	25.18	25.10	24.98	24.91	24.81	24.75
205	10940.5	24.50	25.40	24.33	24.26	24.21	24.15	24.13
218	10960.7	26.40	26.19	25.85	25.46	25.25	25.11	24.95
235	10979.6	27.00	26.88	26.82	26.75	26.68	26.62	26.60
266	11021.1	27.60	27.10	27.04	26.86	26.76	26.66	26.64
279	11036.1	26.00	25.88	25.75	25.62	25.56	25.50	25.48
280	11091.0	22.90	22.64	22.55	22.45	22.41	22.39	22.37
287	11123.4	23.80	23.68	23.60	23.51	23.45	23.39	23.37
317	11163.3	26.40	26.27	26.20	26.12	26.06	26.00	25.99
