,Depth,Air Permeability,Corrected Perm,porosity,Klinkenberg Perm
2,10277.2,0.0,0.0,5.82,0.0
3,10278.3,0.0,0.0,6.596,0.0
4,10279.2,0.0,0.0,3.492,0.0
5,10280.0,0.1,0.08939384455496113,6.111,0.08781055818098381
8,10282.0,0.3,0.2681749377004054,8.341999999999999,0.26481674712164527
9,10282.8,1.1,0.9832984324718639,5.4319999999999995,0.9775730968018693
10,10283.8,0.0,0.0,8.341999999999999,0.0
11,10284.8,0.9,0.8044971181565365,9.118,0.798052573763191
14,10286.7,0.5,0.44693240585576827,8.827,0.4423536756662566
15,10287.8,0.0,0.0,9.312,0.0
16,10288.6,0.0,0.0,5.141,0.0
17,10289.5,0.8,0.715067245735081,8.148,0.7093254552217231
18,10290.3,1.2,1.0725903264990104,9.215,1.0649918450736997
20,10290.8,1.3,1.1619657163894044,9.408999999999999,1.1539475761532236
21,10291.7,0.8,0.7150479201918971,9.118,0.7090126552306495
22,10292.7,0.9,0.8044190297601354,8.827,0.7980668586362472
23,10293.1,0.4,0.35751781240642355,8.924,0.3534555690456238
29,10297.8,1.6,1.4299887255581603,8.924,1.4211989784090353
30,10298.8,1.1,0.9831051816636456,9.312,0.9758324042144204
32,10299.8,0.5,0.4468605072601695,8.73,0.44230451563256634
33,10300.8,0.6,0.536226028225601,9.021,0.5311089855989172
34,10301.6,0.4,0.3574805096078771,9.893999999999998,0.35322904188518284
35,10302.7,0.9,0.804320291254297,10.476,0.797467482019152
36,10303.6,0.1,0.08936793451907712,9.021,0.0874901962629197
38,10304.4,1.0,0.8936705751500215,9.506,0.8867103144449878
39,10305.4,0.0,0.0,5.82,0.0
40,10306.4,0.0,0.0,7.856999999999999,0.0
41,10307.2,0.1,0.08936398867119687,9.893999999999998,0.08740887432995977
44,10309.2,0.8,0.7148943782243729,10.573,0.708450680490741
45,10310.0,0.3,0.2680827626087832,10.476,0.26437032684738626
46,10311.0,0.6,0.5361589528713435,10.088,0.5307827151116093
47,10312.0,0.7,0.6255111115420189,9.021,0.6199356166390235
48,10312.8,0.8,0.7148628328738981,10.185,0.7085251378038805
