X,Y,Z,formation
10532.520904,7213.26343,9896,chalk
10532.520904,7213.26343,9996,chalk
10532.520904,7213.26343,10000,chalk
10532.520904,7213.26343,10050,chalk
10532.520904,7213.26343,10087,chalk
7381.058549,6264.3531,9650.4,chalk
7381.058549,6264.3531,9750.4,chalk
7381.058549,6264.3531,9850,chalk
7381.058549,6264.3531,9950,chalk
7381.058549,6264.3531,10050,chalk
7381.058549,6264.3531,10150,chalk
7381.058549,6264.3531,10250,chalk
13891.316308,11689.246453,10034.1,chalk
13891.316308,11689.246453,10134.1,chalk
13891.316308,11689.246453,10150.1,chalk
13891.316308,11689.246453,10184.4,chalk
12896.11767,6535.814744,9525,chalk
12896.11767,6535.814744,9625,chalk
12896.11767,6535.814744,9725,chalk
12896.11767,6535.814744,9825,chalk
12896.11767,6535.814744,9925,chalk
12896.11767,6535.814744,10025,chalk
12896.11767,6535.814744,10125,chalk
12896.11767,6535.814744,10192,chalk
10656.920734,10241.772465,9825,kimmeredge_clay
10656.920734,10241.772465,9925,kimmeredge_clay
10656.920734,10241.772465,10025,kimmeredge_clay
10656.920734,10241.772465,10068,kimmeredge_clay
10656.920734,10241.772465,10082.1,kimmeredge_clay
10656.920734,10241.772465,10182,kimmeredge_clay
10656.920734,10241.772465,10230,kimmeredge_clay
10656.920734,10241.772465,10250,kimmeredge_clay
9869.055145,11974.208854,9922,kimmeredge_clay
9869.055145,11974.208854,10022,kimmeredge_clay
9869.055145,11974.208854,10122,kimmeredge_clay
9869.055145,11974.208854,10222,kimmeredge_clay
9869.055145,11974.208854,10360.1,kimmeredge_clay
9869.055145,11974.208854,10460,kimmeredge_clay
9869.055145,11974.208854,10560,kimmeredge_clay
9869.055145,11974.208854,10610,kimmeredge_clay
9869.055145,11974.208854,10622,kimmeredge_clay
12896.11767,6535.814744,10192.1,kimmeredge_clay
12896.11767,6535.814744,10250,kimmeredge_clay
12896.11767,6535.814744,10271,kimmeredge_clay
13891.316308,11689.246453,10184.5,kimmeredge_clay
13891.316308,11689.246453,10250,kimmeredge_clay
13891.316308,11689.246453,10267,kimmeredge_clay
13891.316308,11689.246453,10410.1,kimmeredge_clay
13891.316308,11689.246453,10455.2,kimmeredge_clay
7381.058549,6264.3531,10285,kimmeredge_clay
7381.058549,6264.3531,10300,kimmeredge_clay
7381.058549,6264.3531,10308.6,kimmeredge_clay
10532.520904,7213.26343,10087.1,kimmeredge_clay
10532.520904,7213.26343,10100,kimmeredge_clay
10532.520904,7213.26343,10120,kimmeredge_clay
10532.520904,7213.26343,10126,kimmeredge_clay
9869.055145,11974.208854,10222.1,kimmeredge_clay
9869.055145,11974.208854,10322,kimmeredge_clay
9869.055145,11974.208854,10350,kimmeredge_clay
9869.055145,11974.208854,10360,kimmeredge_clay
10656.920734,10241.772465,10068.1,kimmeredge_clay
10656.920734,10241.772465,10082,kimmeredge_clay
9869.055145,11974.208854,10622.1,main_sand
9869.055145,11974.208854,10722,main_sand
9869.055145,11974.208854,10822,main_sand
9869.055145,11974.208854,10922.1,main_sand
9869.055145,11974.208854,11022,main_sand
9869.055145,11974.208854,11122.1,main_sand
9869.055145,11974.208854,11222,main_sand
9869.055145,11974.208854,11322,main_sand
9869.055145,11974.208854,11422,main_sand
9869.055145,11974.208854,11510,main_sand
9869.055145,11974.208854,11515,main_sand
10656.920734,10241.772465,10250.1,main_sand
10656.920734,10241.772465,10350,main_sand
10656.920734,10241.772465,10450,main_sand
10656.920734,10241.772465,10550,main_sand
10656.920734,10241.772465,10650,main_sand
10656.920734,10241.772465,10750,main_sand
10656.920734,10241.772465,10850,main_sand
10656.920734,10241.772465,10950,main_sand
10656.920734,10241.772465,11050,main_sand
10656.920734,10241.772465,11100,main_sand
10656.920734,10241.772465,11128,main_sand
12896.11767,6535.814744,10271.1,main_sand
12896.11767,6535.814744,10371,main_sand
12896.11767,6535.814744,10471,main_sand
12896.11767,6535.814744,10571,main_sand
12896.11767,6535.814744,10671,main_sand
12896.11767,6535.814744,10771,main_sand
12896.11767,6535.814744,10881,main_sand
12896.11767,6535.814744,10888,main_sand
13891.316308,11689.246453,10267.1,main_sand
13891.316308,11689.246453,10367,main_sand
13891.316308,11689.246453,10410,main_sand
13891.316308,11689.246453,10455.5,main_sand
13891.316308,11689.246453,10467,main_sand
13891.316308,11689.246453,10567,main_sand
13891.316308,11689.246453,10667,main_sand
13891.316308,11689.246453,10767,main_sand
13891.316308,11689.246453,10867,main_sand
13891.316308,11689.246453,10920,main_sand
13891.316308,11689.246453,10936.2,main_sand
7381.058549,6264.3531,10309,main_sand
7381.058549,6264.3531,10409,main_sand
7381.058549,6264.3531,10509,main_sand
7381.058549,6264.3531,10609,main_sand
7381.058549,6264.3531,10709,main_sand
7381.058549,6264.3531,10809,main_sand
7381.058549,6264.3531,10909,main_sand
7381.058549,6264.3531,11009,main_sand
7381.058549,6264.3531,11109,main_sand
7381.058549,6264.3531,11209,main_sand
7381.058549,6264.3531,11309,main_sand
7381.058549,6264.3531,11310,main_sand
7381.058549,6264.3531,11350,main_sand
7381.058549,6264.3531,11360,main_sand
7381.058549,6264.3531,11390,main_sand
7381.058549,6264.3531,11396.3,main_sand
10532.520904,7213.26343,10126.1,main_sand
10532.520904,7213.26343,10127,main_sand
10532.520904,7213.26343,10227,main_sand
10532.520904,7213.26343,10327,main_sand
10532.520904,7213.26343,10427,main_sand
10532.520904,7213.26343,10527,main_sand
10532.520904,7213.26343,10550,main_sand
10532.520904,7213.26343,10567,main_sand
10532.520904,7213.26343,10567.5,main_sand
11584.5,8892.31,9810,fault1
11663.5728610844,8750.19398937847,10300,fault1
11668.3493589525,8741.61257500227,11500,fault1
