X DEV,Y DEV,DEPTH,TVD
-7.85649,42.43116,10350.0003312,9895.98633
-7.89768,42.64323,10350.500331216,9896.4375
-7.93888,42.85526,10351.000331232,9896.8877
-7.9801,43.06723,10351.500331248,9897.33887
-8.02132,43.27917,10352.000331264,9897.79004
-8.06252,43.49105,10352.50033128,9898.24121
-8.10372,43.70287,10353.000331296,9898.69238
-8.14492,43.91461,10353.500331312,9899.14355
-8.18613,44.12628,10354.000331328,9899.59473
-8.22735,44.33788,10354.500331344,9900.04492
-8.26857,44.5494,10355.00033136,9900.49707
-8.3098,44.76086,10355.500331375999,9900.94824
-8.35103,44.97224,10356.000331391999,9901.39941
-8.39227,45.18356,10356.500331407999,9901.85059
-8.43352,45.3948,10357.000331423998,9902.30176
-8.47476,45.60597,10357.500331439998,9902.75293
-8.51602,45.81707,10358.000331455998,9903.2041
-8.55728,46.0281,10358.500331471998,9903.65527
-8.59854,46.23906,10359.000331487998,9904.10742
-8.63981,46.44994,10359.500331503998,9904.55859
-8.68108,46.66076,10360.000331519997,9905.00977
-8.72236,46.8715,10360.500331535997,9905.46191
-8.76365,47.08217,10361.000331551997,9905.91309
-8.80494,47.29277,10361.500331567997,9906.36523
-8.84624,47.5033,10362.000331583997,9906.81641
-8.88754,47.71376,10362.500331599997,9907.26855
-8.92884,47.92415,10363.000331615996,9907.71973
-8.97015,48.13446,10363.500331631996,9908.17188
-9.01147,48.34471,10364.000331647996,9908.62305
-9.05279,48.55488,10364.500331663996,9909.0752
-9.09411,48.76498,10365.000331679996,9909.52734
-9.13545,48.97501,10365.500331695996,9909.97852
-9.17678,49.18497,10366.000331711995,9910.43066
-9.21812,49.39486,10366.500331727995,9910.88281
-9.25947,49.60468,10367.000331743995,9911.33496
-9.30082,49.81442,10367.500331759995,9911.78613
-9.34218,50.0241,10368.000331775995,9912.23828
-9.38354,50.2337,10368.500331791995,9912.69043
-9.42491,50.44323,10369.000331807994,9913.14258
-9.46628,50.65269,10369.500331823994,9913.59473
-9.50765,50.86208,10370.000331839994,9914.04688
-9.54904,51.0714,10370.500331855994,9914.49902
-9.59042,51.28064,10371.000331871994,9914.95117
-9.63181,51.48981,10371.500331887994,9915.40332
-9.67321,51.69892,10372.000331903993,9915.85645
-9.71461,51.90795,10372.500331919993,9916.30859
-9.75602,52.11691,10373.000331935993,9916.76074
-9.79743,52.3258,10373.500331951993,9917.21289
-9.83884,52.53461,10374.000331967993,9917.66504
-9.88027,52.74336,10374.500331983993,9918.11816
-9.92169,52.95203,10375.000331999992,9918.57031
-9.96312,53.16064,10375.500332015992,9919.02246
-10.00456,53.36917,10376.000332031992,9919.47559
